student_id,gender,grade_level,gpa_band,admission_subject_group,high_school_subject_orientation,location_type,family_income_level,willing_to_relocate,preferred_study_budget,career_priority,role_model_field,math_skill,language_skill,analytical_skill,creativity,problem_solving,technology_interest,business_interest,finance_interest,social_interest,design_interest,communication_skill,leadership,teamwork_preference,adaptability,stress_tolerance,practical_learning_preference,mentor_need,roadmap_need,guidance_need,learning_motivation,labor_market_awareness,growth_mindset,student_cluster,recommended_major,recommended_courses,recommended_mentor_type,recommended_career_path,data_type,assessment_source,generation_method,generated_version
S0001,Female,Grade 11,8.0-8.9,"D01 - Math, Literature, English",Language-Business-oriented,Suburban,High,Yes,Medium,Social Impact,Business,3,4,3,4,3,3,4,4,4,3,4,3,4,2,1,3,3,4,3,2,4,3,Social-Communicative,Human Resource Management / Quản trị nhân lực,Communication; Psychology Basics; HR Management; Career Planning,HR / Career Mentor,HR Student → Training Assistant → HR Specialist,synthetic,assessment_driven,domain_informed_rules,v1.4
S0002,Female,Grade 11,8.0-8.9,"D01 - Math, Literature, English",Language-Media-oriented,Urban,Medium,Undecided,Low,Passion,Education,4,2,4,3,2,3,3,4,3,4,3,2,4,2,3,2,2,3,4,3,4,4,Finance-Oriented,Finance and Banking / Tài chính - Ngân hàng,Accounting Basics; Banking Operations; Financial Analysis; Excel,Finance Mentor,Finance Student → Credit Analyst Intern → Credit/Financial Analyst,synthetic,assessment_driven,domain_informed_rules,v1.4
S0003,Male,Grade 11,8.0-8.9,"A00 - Math, Physics, Chemistry",STEM-Business-oriented,Urban,High,No,Medium,Growth,Finance,2,3,5,3,3,3,4,3,3,4,5,4,3,3,2,3,3,3,2,4,5,4,Business-Strategic,Business Administration / Quản trị kinh doanh,Management; Marketing Basics; Business Analytics; Project Management,Business Mentor,Business Student → Project/Marketing Intern → Business Analyst,synthetic,assessment_driven,domain_informed_rules,v1.4
S0004,Male,Grade 12,6.5-7.9,"C00 - Literature, History, Geography",Law-oriented,Rural,Medium,No,Low,Growth,Technology,4,3,3,3,4,3,4,1,4,3,3,3,2,3,4,4,4,4,4,4,3,3,Balanced Explorer,Career Exploration / Định hướng nghề nghiệp,Career Exploration; Basic IT; Communication; Study Planning; Self-Assessment,General Career Mentor,Exploration Stage → Foundation Courses → Major Selection,synthetic,assessment_driven,domain_informed_rules,v1.4
S0005,Female,Grade 11,8.0-8.9,"A01 - Math, Physics, English",STEM-oriented,Urban,Medium,Yes,Low,Social Impact,Education,5,3,5,2,4,4,2,3,3,3,3,2,3,3,3,4,3,5,3,3,3,3,Tech-Analytical,Information Technology / Công nghệ thông tin,Python Basics; SQL; Database Systems; Data Analytics,Technology Mentor,IT Student → Junior Developer → Software Engineer,synthetic,assessment_driven,domain_informed_rules,v1.4
S0006,Male,Grade 11,9.0-10.0,"A01 - Math, Physics, English",STEM-oriented,Rural,Medium,No,Medium,Passion,Healthcare,4,3,5,3,3,3,3,5,4,4,2,4,2,3,4,2,3,3,3,2,4,3,Finance-Oriented,Finance and Banking / Tài chính - Ngân hàng,Accounting Basics; Banking Operations; Financial Analysis; Excel,Finance Mentor,Finance Student → Credit Analyst Intern → Credit/Financial Analyst,synthetic,assessment_driven,domain_informed_rules,v1.4
S0007,Female,Grade 11,8.0-8.9,"A00 - Math, Physics, Chemistry",STEM-oriented,Rural,High,Yes,Medium,Salary,Media & Communication,4,4,4,3,5,4,3,4,2,3,3,4,2,2,2,4,3,4,2,3,3,4,Tech-Analytical,Information Technology / Công nghệ thông tin,Python Basics; SQL; Database Systems; Data Analytics,Technology Mentor,IT Student → Junior Developer → Software Engineer,synthetic,assessment_driven,domain_informed_rules,v1.4
S0008,Female,Grade 11,8.0-8.9,"A01 - Math, Physics, English",STEM-oriented,Suburban,High,Yes,Low,Social Impact,Media & Communication,4,3,3,3,3,4,5,3,4,3,5,5,3,2,2,2,3,4,3,4,4,5,Business-Strategic,Communication and Digital Media / Truyền thông & Truyền thông số,Communication; Content Creation; Digital Marketing; Media Planning,Communication / Media Mentor,Content Assistant → Communication Specialist → Digital Media Strategist,synthetic,assessment_driven,domain_informed_rules,v1.4
S0009,Female,Grade 11,8.0-8.9,"D01 - Math, Literature, English",Language-oriented,Urban,Low,Yes,High,Salary,Undecided,4,5,5,2,3,5,3,3,3,3,2,2,3,4,3,3,3,4,2,3,3,3,Tech-Analytical,Information Technology / Công nghệ thông tin,Python Basics; SQL; Database Systems; Data Analytics,Technology Mentor,IT Student → Junior Developer → Software Engineer,synthetic,assessment_driven,domain_informed_rules,v1.4
S0010,Male,Grade 11,6.5-7.9,"C00 - Literature, History, Geography",Social-science-oriented,Urban,Medium,Yes,Medium,Growth,Undecided,3,3,4,5,2,2,3,3,3,5,4,4,4,3,3,5,2,3,3,3,5,2,Creative-Design,Communication and Digital Media / Truyền thông & Truyền thông số,Content Creation; Communication; Design Thinking; Digital Marketing,Media / Marketing Mentor,Media Student → Content Intern → Digital Marketer,synthetic,assessment_driven,domain_informed_rules,v1.4
S0011,Male,Grade 11,9.0-10.0,Undecided,Arts-Media-oriented,Rural,Medium,No,Medium,Passion,Healthcare,4,2,3,5,3,2,2,4,2,5,4,3,5,3,2,4,3,4,2,3,3,4,Creative-Design,Communication and Digital Media / Truyền thông & Truyền thông số,Content Creation; Communication; Design Thinking; Digital Marketing,Media / Marketing Mentor,Media Student → Content Intern → Digital Marketer,synthetic,assessment_driven,domain_informed_rules,v1.4
S0012,Male,Grade 12,9.0-10.0,"A01 - Math, Physics, English",Business-Finance-oriented,Urban,High,Undecided,High,Stability,Business,3,3,4,3,4,3,3,5,5,4,2,3,4,2,4,4,2,3,1,2,4,3,Finance-Oriented,Finance and Banking / Tài chính - Ngân hàng,Accounting Basics; Banking Operations; Financial Analysis; Excel,Finance Mentor,Finance Student → Credit Analyst Intern → Credit/Financial Analyst,synthetic,assessment_driven,domain_informed_rules,v1.4
S0013,Female,Grade 12,8.0-8.9,"D01 - Math, Literature, English",Language-Media-oriented,Rural,Medium,Yes,Medium,Growth,Technology,2,3,3,5,2,4,3,2,3,5,3,3,3,3,3,5,2,5,2,3,3,4,Creative-Design,Digital Media and UX Design / Truyền thông số & Thiết kế UX,UI/UX Basics; Design Thinking; Content Strategy; Web Design,Design / Product Mentor,Design Student → UI/UX Intern → UX Designer,synthetic,assessment_driven,domain_informed_rules,v1.4
S0014,Female,Grade 12,8.0-8.9,Undecided,Arts-Media-oriented,Urban,Medium,Undecided,Medium,Growth,Finance,3,3,3,4,4,3,2,4,3,5,4,2,3,4,3,4,3,4,3,3,3,4,Creative-Design,Digital Media and UX Design / Truyền thông số & Thiết kế UX,UI/UX Basics; Design Thinking; Content Strategy; Web Design,Design / Product Mentor,Design Student → UI/UX Intern → UX Designer,synthetic,assessment_driven,domain_informed_rules,v1.4
S0015,Female,Grade 11,8.0-8.9,"A00 - Math, Physics, Chemistry",STEM-oriented,Urban,Low,No,Low,Passion,Media & Communication,5,4,5,4,4,5,3,3,3,3,3,2,5,2,2,5,4,4,3,3,2,4,Tech-Analytical,Information Technology / Công nghệ thông tin,Python Basics; SQL; Database Systems; Data Analytics; Online Learning Resources,Technology Mentor,IT Student → Junior Developer → Software Engineer,synthetic,assessment_driven,domain_informed_rules,v1.4
S0016,Male,Grade 11,8.0-8.9,"A00 - Math, Physics, Chemistry",STEM-oriented,Rural,Medium,Yes,Medium,Passion,Business,4,4,4,2,4,5,3,2,3,3,3,3,3,2,2,3,3,4,4,4,3,4,Tech-Analytical,Information Technology / Công nghệ thông tin,Python Basics; SQL; Database Systems; Data Analytics,Technology Mentor,IT Student → Junior Developer → Software Engineer,synthetic,assessment_driven,domain_informed_rules,v1.4
S0017,Female,Grade 12,8.0-8.9,"D01 - Math, Literature, English",Language-Business-oriented,Suburban,High,Yes,Medium,Salary,Media & Communication,4,3,4,3,4,5,4,3,3,3,3,3,3,3,2,4,3,5,4,5,2,5,Tech-Analytical,Management Information Systems / Hệ thống thông tin quản lý,Python Basics; SQL; Business Analytics; Introduction to AI,Business-Tech Mentor,IT/IM Student → Data Intern → Business/Data Analyst,synthetic,assessment_driven,domain_informed_rules,v1.4
S0018,Female,Grade 11,8.0-8.9,"A01 - Math, Physics, English",STEM-Business-oriented,Urban,High,Yes,High,Growth,Business,3,5,3,2,3,2,4,3,3,3,5,5,3,2,3,2,4,4,3,2,5,4,Business-Strategic,Business Administration / Quản trị kinh doanh,Management; Marketing Basics; Business Analytics; Project Management,Business Mentor,Business Student → Project/Marketing Intern → Business Analyst,synthetic,assessment_driven,domain_informed_rules,v1.4
S0019,Male,Grade 12,6.5-7.9,"D01 - Math, Literature, English",Language-oriented,Urban,Medium,Yes,Medium,Growth,Technology,4,2,3,3,3,3,3,2,3,3,3,3,2,2,3,3,4,5,4,4,3,5,Balanced Explorer,Career Exploration / Định hướng nghề nghiệp,Career Exploration; Basic IT; Communication; Study Planning; Self-Assessment,General Career Mentor,Exploration Stage → Foundation Courses → Major Selection,synthetic,assessment_driven,domain_informed_rules,v1.4
S0020,Male,Grade 11,8.0-8.9,"B00 - Math, Chemistry, Biology",Natural-science / Healthcare-oriented,Rural,High,No,Medium,Growth,Healthcare,4,3,4,4,4,2,4,4,2,2,1,3,4,4,2,4,3,3,4,4,3,1,Balanced Explorer,Healthcare / Y - Dược,Biology Basics; Chemistry Basics; Health Science Introduction; Communication; Medical Ethics,Healthcare / Medical Career Mentor,Health Science Student → Clinical / Pharmacy Intern → Healthcare Professional,synthetic,assessment_driven,domain_informed_rules,v1.4
S0021,Male,Grade 12,6.5-7.9,"A00 - Math, Physics, Chemistry",STEM-Business-oriented,Suburban,Medium,Undecided,Low,Social Impact,Business,3,2,4,3,2,3,2,3,4,2,3,3,2,3,2,3,3,5,4,3,3,3,Balanced Explorer,Career Exploration / Định hướng nghề nghiệp,Career Exploration; Basic IT; Communication; Study Planning; Self-Assessment,General Career Mentor,Exploration Stage → Foundation Courses → Major Selection,synthetic,assessment_driven,domain_informed_rules,v1.4
S0022,Male,Grade 12,8.0-8.9,"A00 - Math, Physics, Chemistry",STEM-oriented,Rural,Low,No,Medium,Salary,Finance,4,3,5,3,4,4,1,2,4,4,3,3,3,5,5,4,2,2,3,2,2,4,Tech-Analytical,Information Technology / Công nghệ thông tin,Python Basics; SQL; Database Systems; Data Analytics,Technology Mentor,IT Student → Junior Developer → Software Engineer,synthetic,assessment_driven,domain_informed_rules,v1.4
S0023,Female,Grade 12,6.5-7.9,"A00 - Math, Physics, Chemistry",Business-Finance-oriented,Urban,Medium,Yes,Medium,Growth,Business,3,4,5,3,4,3,3,5,3,2,3,2,2,4,4,2,3,3,3,3,3,4,Finance-Oriented,Finance and Banking / Tài chính - Ngân hàng,Accounting Basics; Banking Operations; Financial Analysis; Excel,Finance Mentor,Finance Student → Credit Analyst Intern → Credit/Financial Analyst,synthetic,assessment_driven,domain_informed_rules,v1.4
